episode,epsilon_is,push_p10_is,push_p10_nois,push_p20_is,push_p20_nois,push_p30_is,push_p30_nois
368,-505,-505,-505,-505,-505,-505,-505
369,-505,-505,-505,-505,-505,-505,-505
370,-505,-505,-505,-505,-505,-505,-505
371,-241,-505,-505,-505,-505,-505,-505
372,-217,-505,-505,-505,-505,-505,-505
373,-505,-505,-505,-505,-505,-505,-505
374,-47,-505,-505,-505,-505,-505,-109
375,-505,-505,-505,-505,-505,-505,-505
376,-209,-505,-29,-505,-505,-505,-505
377,-505,-505,-505,-505,-505,-505,-505
378,-56,-505,-505,-505,-505,-505,-505
379,-505,-505,-184,-505,-505,-505,-505
380,-505,-505,-505,-505,-254,-505,-505
381,-505,-505,-219,-505,-505,-505,-505
382,-505,-505,-193,-505,-505,-505,-505
383,-130,-505,-285,-505,-505,-505,-505
384,-238,-505,-505,-505,-505,-505,-505
385,-384,-505,-116,-505,-61,-505,-505
386,-433,-505,-335,-505,-505,-505,-505
387,-110,-505,-505,-505,-505,-505,-505
388,-26,-505,-505,-505,-505,-505,-505
389,-505,-505,-205,-505,-505,-505,-505
390,-200,-505,-505,-505,-505,-505,-505
391,-495,-505,-505,-505,-131,-505,-505
392,-228,-505,-505,-505,-505,-505,-505
393,-432,-505,-505,-505,-505,-505,-505
394,-505,-505,-505,-505,-505,-505,-505
395,-505,-505,-61,-505,-505,-505,-505
396,-505,-505,-505,-505,-505,-505,-505
397,-505,-505,-151,-505,-505,-505,-505
398,-505,-505,-505,-369,-505,-505,-505
399,-265,-505,-505,-505,-505,-505,-505
400,-505,-505,-505,-505,-505,-505,-505
401,-497,-505,-505,-505,-505,-505,-505
402,-505,-505,-505,-505,-505,-505,-505
403,-391,-505,-297,-505,-505,-505,-505
404,-505,-505,-505,-505,-505,-505,-505
405,-505,-505,-274,-505,-505,-505,-505
406,-86,-505,-505,-505,-505,-505,-505
407,-343,-505,-505,-505,-505,-505,-505
408,-505,-505,-24,-505,-505,-505,-505
409,-505,-159,-505,-505,-505,-505,-505
410,-505,-505,-505,-505,-505,-505,-505
411,-420,-505,-505,-505,-505,-505,-505
412,-505,-505,-505,-505,-505,-505,-505
413,-505,-505,-505,-505,-505,-505,-505
414,-29,-505,-505,-505,-505,-505,-505
415,-203,-505,-505,-505,-505,-505,-505
416,-46,-505,-505,-505,-505,-505,-505
417,-100,-505,-505,-505,-505,-505,-505
418,-220,-83,-505,-505,-505,-505,-505
419,-505,-505,-505,-505,-505,-505,-505
420,-126,-505,-505,-505,-505,-505,-505
421,-505,-505,-505,-505,-505,-505,-505
422,-467,-257,-505,-505,-505,-505,-505
423,-467,-505,-505,-505,-505,-505,-505
424,-71,-505,-505,-505,-505,-505,-505
425,-485,-505,-505,-505,-505,-505,-505
426,-505,-505,-318,-505,-308,-505,-505
427,-505,-505,-505,-505,-505,-505,-505
428,-409,-505,-214,-505,-505,-505,-505
429,-464,-505,-505,-505,-505,-505,-505
430,-66,-505,-505,-505,-505,-505,-505
431,-239,-505,-505,-505,-505,-505,-505
432,-324,-505,-505,-505,-505,-505,-505
433,-52,-505,-123,-505,-505,-505,-228
